CET,AT-Forecasted Load,BE-Forecasted Load,BG-Forecasted Load,CZ-Forecasted Load,DE_LU-Forecasted Load,DK_1-Forecasted Load,DK_2-Forecasted Load,EE-Forecasted Load,ES-Forecasted Load,FI-Forecasted Load,FR-Forecasted Load,GR-Forecasted Load,HR-Forecasted Load,HU-Forecasted Load,IT_CALA-Forecasted Load,IT_CNOR-Forecasted Load,IT_CSUD-Forecasted Load,IT_NORD-Forecasted Load,IT_SARD-Forecasted Load,IT_SICI-Forecasted Load,IT_SUD-Forecasted Load,LT-Forecasted Load,LV-Forecasted Load,NL-Forecasted Load,NO_1-Forecasted Load,NO_2-Forecasted Load,NO_3-Forecasted Load,NO_4-Forecasted Load,NO_5-Forecasted Load,PL-Forecasted Load,PT-Forecasted Load,RO-Forecasted Load,SE_1-Forecasted Load,SE_2-Forecasted Load,SE_3-Forecasted Load,SE_4-Forecasted Load,SI-Forecasted Load,SK-Forecasted Load
2022-04-01 00:00:00+02:00,6732.0,9538.0,3518.0,6815.0,51642.0,2213.0,1390.0,,24938.0,9627.0,55950.0,4426.0,1781.0,4629.0,863.0,2355.0,4699.0,15687.0,901.0,1647.0,1747.0,1249.0,683.0,11928.0,4227.0,4423.0,3466.0,2351.0,1740.0,18800.0,5502.0,5710.0,1283.0,1664.0,10653.0,2822.0,1376.0,2850.0
2022-04-01 00:15:00+02:00,6584.0,9458.0,,,50882.0,,,,,,,,,4537.0,,,,,,,,,,11871.0,,,,,,,,5670.0,,,,,,
2022-04-01 00:30:00+02:00,6464.0,9338.0,,,49978.0,,,,,,,,,4463.0,,,,,,,,,,11757.0,,,,,,,,5620.0,,,,,,
2022-04-01 00:45:00+02:00,6368.0,9200.0,,,49909.0,,,,,,,,,4423.0,,,,,,,,,,11606.0,,,,,,,,5580.0,,,,,,
2022-04-01 01:00:00+02:00,6612.0,8984.0,3416.0,6855.0,49501.0,2164.0,1340.0,,23362.0,9527.0,53500.0,4295.0,1643.0,4371.0,576.0,2219.0,4307.0,14981.0,855.0,1460.0,1664.0,1240.0,667.0,12095.0,4296.0,4475.0,3490.0,2371.0,1740.0,18150.0,5140.0,5540.0,1277.0,1633.0,10555.0,2790.0,1324.0,2820.0
2022-04-01 01:15:00+02:00,6500.0,8887.0,,,49290.0,,,,,,,,,4316.0,,,,,,,,,,11964.0,,,,,,,,5510.0,,,,,,
2022-04-01 01:30:00+02:00,6408.0,8760.0,,,49081.0,,,,,,,,,4275.0,,,,,,,,,,11845.0,,,,,,,,5490.0,,,,,,
2022-04-01 01:45:00+02:00,6308.0,8638.0,,,48751.0,,,,,,,,,4287.0,,,,,,,,,,11705.0,,,,,,,,5480.0,,,,,,
2022-04-01 02:00:00+02:00,6288.0,8725.0,3388.0,6790.0,48598.0,2176.0,1337.0,,22457.0,9534.0,52900.0,4214.0,1609.0,4249.0,502.0,2227.0,4227.0,14510.0,828.0,1367.0,1516.0,1238.0,661.0,11599.0,4264.0,4371.0,3464.0,2334.0,1726.0,17900.0,4853.0,5480.0,1277.0,1620.0,10537.0,2787.0,1301.0,2800.0
2022-04-01 02:15:00+02:00,6224.0,8649.0,,,48566.0,,,,,,,,,4213.0,,,,,,,,,,11499.0,,,,,,,,5480.0,,,,,,
2022-04-01 02:30:00+02:00,6164.0,8609.0,,,48700.0,,,,,,,,,4188.0,,,,,,,,,,11426.0,,,,,,,,5480.0,,,,,,
2022-04-01 02:45:00+02:00,6112.0,8520.0,,,48849.0,,,,,,,,,4179.0,,,,,,,,,,11341.0,,,,,,,,5490.0,,,,,,
2022-04-01 03:00:00+02:00,6184.0,8684.0,3452.0,6764.0,49207.0,2205.0,1355.0,,22012.0,9690.0,50400.0,4175.0,1611.0,4128.0,438.0,2224.0,4207.0,14582.0,810.0,1363.0,1574.0,1239.0,673.0,11274.0,4151.0,4412.0,3451.0,2321.0,1725.0,18100.0,4689.0,5500.0,1286.0,1646.0,10596.0,2799.0,1310.0,2850.0
2022-04-01 03:15:00+02:00,6152.0,8596.0,,,49587.0,,,,,,,,,4080.0,,,,,,,,,,11205.0,,,,,,,,5510.0,,,,,,
2022-04-01 03:30:00+02:00,6124.0,8583.0,,,49831.0,,,,,,,,,4108.0,,,,,,,,,,11137.0,,,,,,,,5540.0,,,,,,
2022-04-01 03:45:00+02:00,6092.0,8550.0,,,50278.0,,,,,,,,,4102.0,,,,,,,,,,11088.0,,,,,,,,5570.0,,,,,,
2022-04-01 04:00:00+02:00,6108.0,8870.0,3684.0,6881.0,50744.0,2239.0,1370.0,,21848.0,9958.0,49500.0,4285.0,1646.0,4154.0,461.0,2104.0,4102.0,14730.0,766.0,1417.0,1542.0,1310.0,713.0,11078.0,4179.0,4549.0,3539.0,2378.0,1760.0,18450.0,4625.0,5630.0,1305.0,1711.0,10762.0,2846.0,1350.0,2900.0
2022-04-01 04:15:00+02:00,6108.0,8890.0,,,51161.0,,,,,,,,,4201.0,,,,,,,,,,11070.0,,,,,,,,5690.0,,,,,,
2022-04-01 04:30:00+02:00,6116.0,8883.0,,,51499.0,,,,,,,,,4282.0,,,,,,,,,,11057.0,,,,,,,,5780.0,,,,,,
2022-04-01 04:45:00+02:00,6128.0,8916.0,,,51860.0,,,,,,,,,4305.0,,,,,,,,,,11041.0,,,,,,,,5880.0,,,,,,
2022-04-01 05:00:00+02:00,6192.0,9483.0,4222.0,7350.0,52992.0,2411.0,1434.0,,22453.0,10511.0,50650.0,4642.0,1735.0,4363.0,476.0,2205.0,4290.0,15485.0,808.0,1458.0,1593.0,1567.0,768.0,11053.0,4382.0,4806.0,3532.0,2351.0,1857.0,19700.0,4619.0,5990.0,1331.0,1808.0,11167.0,2987.0,1463.0,3150.0
2022-04-01 05:15:00+02:00,6240.0,9550.0,,,53450.0,,,,,,,,,4433.0,,,,,,,,,,11081.0,,,,,,,,6130.0,,,,,,
2022-04-01 05:30:00+02:00,6316.0,9582.0,,,54577.0,,,,,,,,,4501.0,,,,,,,,,,11094.0,,,,,,,,6270.0,,,,,,
