CET,AT-Forecasted Load,BE-Forecasted Load,BG-Forecasted Load,CZ-Forecasted Load,DE_LU-Forecasted Load,DK_1-Forecasted Load,DK_2-Forecasted Load,EE-Forecasted Load,ES-Forecasted Load,FI-Forecasted Load,FR-Forecasted Load,GR-Forecasted Load,HR-Forecasted Load,HU-Forecasted Load,IT_CALA-Forecasted Load,IT_CNOR-Forecasted Load,IT_CSUD-Forecasted Load,IT_NORD-Forecasted Load,IT_SARD-Forecasted Load,IT_SICI-Forecasted Load,IT_SUD-Forecasted Load,LT-Forecasted Load,LV-Forecasted Load,NL-Forecasted Load,NO_1-Forecasted Load,NO_2-Forecasted Load,NO_3-Forecasted Load,NO_4-Forecasted Load,NO_5-Forecasted Load,PL-Forecasted Load,PT-Forecasted Load,RO-Forecasted Load,SE_1-Forecasted Load,SE_2-Forecasted Load,SE_3-Forecasted Load,SE_4-Forecasted Load,SI-Forecasted Load
2024-12-01 00:00:00+01:00,6484.0,8700.0,4319.0,6189.0,44098.0,2280.0,1539.0,872.0,23031.0,9463.0,56050.0,4522.0,1814.0,4629.0,502.0,2117.0,4635.0,13922.0,742.0,1502.0,1935.0,1114.0,636.0,11563.0,4035.0,4057.0,3146.0,2396.0,1933.0,15850.0,5338.0,5590.0,1279.0,1777.0,9597.0,2529.0,1314.0
2024-12-01 00:15:00+01:00,6380.0,8569.0,,6106.0,43639.0,,,,22614.0,9438.0,,,1815.0,4546.0,,,,,,,,1114.0,,11346.0,,,,,,15700.0,,5550.0,,,,,
2024-12-01 00:30:00+01:00,6284.0,8527.0,,6046.0,43248.0,,,,22229.0,9414.0,,,1815.0,4473.0,,,,,,,,1114.0,,11217.0,,,,,,15550.0,,5510.0,,,,,
2024-12-01 00:45:00+01:00,6216.0,8379.0,,6008.0,42662.0,,,,21870.0,9390.0,,,1815.0,4411.0,,,,,,,,1114.0,,11208.0,,,,,,15400.0,,5480.0,,,,,
2024-12-01 01:00:00+01:00,6188.0,8291.0,4235.0,5990.0,42228.0,2304.0,1527.0,852.0,21516.0,9299.0,54000.0,4386.0,1680.0,4358.0,462.0,1970.0,4161.0,12985.0,697.0,1375.0,1793.0,1090.0,617.0,11111.0,3944.0,3978.0,3137.0,2385.0,1916.0,15250.0,4979.0,5440.0,1272.0,1751.0,9417.0,2469.0,1250.0
2024-12-01 01:15:00+01:00,6144.0,8189.0,,5974.0,41826.0,,,,21191.0,9263.0,,,1680.0,4310.0,,,,,,,,1090.0,,11023.0,,,,,,15150.0,,5420.0,,,,,
2024-12-01 01:30:00+01:00,6044.0,8080.0,,5958.0,41379.0,,,,20874.0,9227.0,,,1680.0,4266.0,,,,,,,,1090.0,,10933.0,,,,,,15000.0,,5400.0,,,,,
2024-12-01 01:45:00+01:00,6028.0,7994.0,,5941.0,41164.0,,,,20572.0,9192.0,,,1681.0,4225.0,,,,,,,,1090.0,,10864.0,,,,,,14900.0,,5380.0,,,,,
2024-12-01 02:00:00+01:00,6080.0,7923.0,4181.0,5924.0,40756.0,2286.0,1511.0,849.0,20235.0,9158.0,52450.0,4234.0,1600.0,4190.0,440.0,1895.0,3860.0,12345.0,675.0,1315.0,1648.0,1075.0,616.0,10786.0,3805.0,4020.0,3119.0,2341.0,1926.0,14800.0,4627.0,5360.0,1264.0,1734.0,9337.0,2456.0,1217.0
2024-12-01 02:15:00+01:00,6032.0,7899.0,,5914.0,40648.0,,,,19987.0,9145.0,,,1600.0,4160.0,,,,,,,,1075.0,,10707.0,,,,,,14700.0,,5350.0,,,,,
2024-12-01 02:30:00+01:00,5964.0,7889.0,,5910.0,40410.0,,,,19775.0,9137.0,,,1600.0,4137.0,,,,,,,,1075.0,,10697.0,,,,,,14600.0,,5350.0,,,,,
2024-12-01 02:45:00+01:00,5940.0,7770.0,,5914.0,40452.0,,,,19598.0,9124.0,,,1600.0,4120.0,,,,,,,,1075.0,,10706.0,,,,,,14550.0,,5350.0,,,,,
2024-12-01 03:00:00+01:00,5920.0,7801.0,4221.0,5925.0,40273.0,2254.0,1486.0,844.0,19400.0,9124.0,49500.0,4142.0,1563.0,4110.0,422.0,1833.0,3653.0,11986.0,662.0,1277.0,1616.0,1080.0,617.0,10755.0,3682.0,4009.0,3080.0,2255.0,1904.0,14500.0,4348.0,5360.0,1255.0,1728.0,9365.0,2444.0,1198.0
2024-12-01 03:15:00+01:00,5876.0,7774.0,,5942.0,40392.0,,,,19287.0,9116.0,,,1563.0,4105.0,,,,,,,,1080.0,,10758.0,,,,,,14450.0,,5370.0,,,,,
2024-12-01 03:30:00+01:00,5856.0,7732.0,,5964.0,40322.0,,,,19200.0,9116.0,,,1563.0,4106.0,,,,,,,,1080.0,,10698.0,,,,,,14450.0,,5370.0,,,,,
2024-12-01 03:45:00+01:00,5832.0,7745.0,,5992.0,40276.0,,,,19135.0,9124.0,,,1563.0,4111.0,,,,,,,,1080.0,,10675.0,,,,,,14450.0,,5380.0,,,,,
2024-12-01 04:00:00+01:00,5860.0,7785.0,4295.0,6022.0,40449.0,2245.0,1457.0,843.0,19063.0,9134.0,48150.0,4166.0,1549.0,4122.0,435.0,1755.0,3500.0,11796.0,662.0,1245.0,1573.0,1107.0,629.0,10710.0,3564.0,3943.0,3106.0,2271.0,1911.0,14450.0,4187.0,5410.0,1255.0,1727.0,9381.0,2442.0,1203.0
2024-12-01 04:15:00+01:00,5888.0,7771.0,,6048.0,40500.0,,,,19027.0,9149.0,,,1550.0,4137.0,,,,,,,,1107.0,,10750.0,,,,,,14500.0,,5440.0,,,,,
2024-12-01 04:30:00+01:00,5932.0,7731.0,,6067.0,40654.0,,,,19002.0,9165.0,,,1550.0,4155.0,,,,,,,,1107.0,,10768.0,,,,,,14550.0,,5460.0,,,,,
2024-12-01 04:45:00+01:00,5924.0,7728.0,,6078.0,40782.0,,,,18992.0,9180.0,,,1550.0,4178.0,,,,,,,,1107.0,,10725.0,,,,,,14600.0,,5490.0,,,,,
