CET,AT-DA_price,BE-DA_price,BG-DA_price,CZ-DA_price,DE_LU-DA_price,DK_1-DA_price,DK_2-DA_price,EE-DA_price,ES-DA_price,FI-DA_price,FR-DA_price,GR-DA_price,HR-DA_price,HU-DA_price,IT_CALA-DA_price,IT_CNOR-DA_price,IT_CSUD-DA_price,IT_NORD-DA_price,IT_SARD-DA_price,IT_SICI-DA_price,IT_SUD-DA_price,LT-DA_price,LV-DA_price,NL-DA_price,NO_1-DA_price,NO_2-DA_price,NO_3-DA_price,NO_4-DA_price,NO_5-DA_price,PL-DA_price,PT-DA_price,RO-DA_price,SE_1-DA_price,SE_2-DA_price,SE_3-DA_price,SE_4-DA_price,SI-DA_price,SK-DA_price
2023-02-01 00:00:00+01:00,104.02,122.62,99.77,102.64,79.94,79.94,75.68,85.0,133.65,85.0,137.49,129.93,103.26,99.14,149.0,149.0,149.0,149.0,149.0,149.0,149.0,85.0,85.0,85.03,82.5,82.5,75.68,41.99,82.5,85.0,133.65,99.77,75.68,75.68,75.68,75.68,105.34,97.09
2023-02-01 01:00:00+01:00,104.03,119.3,93.21,96.21,67.55,67.55,67.55,69.12,121.51,69.12,135.28,120.0,98.83,92.23,135.28,135.28,135.28,135.28,135.28,135.28,135.28,69.12,69.12,80.02,77.46,77.46,67.55,41.24,77.46,69.12,121.51,93.21,67.55,67.55,67.55,67.55,102.26,88.69
2023-02-01 02:00:00+01:00,102.41,109.02,90.37,89.05,65.69,65.69,65.69,69.09,99.39,69.09,131.45,90.37,96.14,89.25,131.45,131.45,131.45,131.45,131.45,131.45,131.45,69.09,69.09,71.67,74.03,74.03,65.69,41.24,74.03,69.09,99.39,90.37,65.69,65.69,65.69,65.69,99.71,85.51
2023-02-01 03:00:00+01:00,92.62,88.72,88.01,95.84,66.82,66.82,66.82,71.03,103.79,71.03,103.79,88.01,90.75,87.74,135.0,135.0,135.0,135.0,135.0,135.0,135.0,71.03,71.03,71.05,74.4,74.4,66.82,40.82,74.4,71.03,103.79,88.01,66.82,66.82,66.82,66.82,92.37,85.93
2023-02-01 04:00:00+01:00,123.06,83.85,123.88,99.79,57.59,57.59,59.01,80.52,110.0,80.52,110.94,123.88,125.43,121.18,135.0,135.0,135.0,135.0,135.0,135.0,135.0,80.52,80.52,79.21,73.9,73.9,59.01,41.04,73.9,80.52,110.0,123.88,59.01,59.01,59.01,59.01,127.87,120.44
2023-02-01 05:00:00+01:00,116.33,109.53,112.0,116.79,74.96,74.96,73.16,100.01,99.99,100.01,133.4,112.0,115.13,111.37,147.7,147.7,147.7,147.7,147.7,147.7,147.7,100.01,100.01,83.93,82.63,82.63,73.16,39.9,82.63,93.46,99.99,112.0,73.16,73.16,73.16,73.16,117.0,109.68
2023-02-01 06:00:00+01:00,164.27,125.38,162.01,175.0,95.98,95.98,93.97,130.39,115.0,130.39,149.36,164.27,163.18,162.48,164.27,164.27,164.27,164.27,164.27,164.27,164.27,130.39,130.39,99.5,93.97,93.97,93.97,43.08,93.97,110.57,115.0,162.01,93.97,93.97,93.97,93.97,163.34,160.04
2023-02-01 07:00:00+01:00,174.74,173.68,186.79,166.98,112.75,110.04,110.04,209.88,138.24,209.88,174.03,186.79,182.99,186.13,181.7,181.7,181.7,181.7,181.7,181.7,181.7,209.88,209.88,130.0,110.04,110.04,110.04,44.6,110.04,110.46,138.24,186.79,110.04,110.04,110.04,110.04,181.7,189.32
2023-02-01 08:00:00+01:00,179.96,188.11,187.53,204.03,120.74,117.0,117.0,150.0,180.63,150.0,180.63,187.53,185.87,188.18,202.0,202.0,202.0,202.0,202.0,202.0,202.0,150.0,150.0,163.7,117.0,117.0,117.0,45.25,117.0,110.52,159.05,187.53,117.0,117.0,117.0,117.0,184.71,189.35
2023-02-01 09:00:00+01:00,167.32,194.25,173.87,175.0,111.29,110.46,110.46,110.46,146.54,110.46,180.7,173.87,171.55,173.32,180.7,180.7,180.7,180.7,180.7,180.7,180.7,110.46,110.46,120.1,110.46,110.46,110.46,45.81,110.46,111.07,146.54,173.87,110.46,110.46,110.46,110.46,170.85,174.33
2023-02-01 10:00:00+01:00,161.9,178.99,164.56,188.62,105.03,105.03,105.03,130.28,129.6,130.28,167.99,164.56,164.93,165.24,165.56,167.99,165.56,167.99,165.56,165.56,165.56,130.28,130.28,108.51,105.03,105.03,105.03,45.76,105.03,110.95,129.6,164.56,105.03,105.03,105.03,105.03,164.69,165.13
2023-02-01 11:00:00+01:00,159.95,165.76,164.27,194.74,101.45,101.45,101.45,141.16,100.0,141.16,157.53,164.27,163.71,165.32,164.27,166.34,164.27,166.34,164.27,164.27,164.27,141.16,141.16,104.81,101.45,101.45,101.45,45.76,101.45,111.74,100.0,164.27,101.45,101.45,101.45,101.45,162.84,165.79
2023-02-01 12:00:00+01:00,149.41,145.1,154.99,185.72,99.34,99.34,99.34,134.28,107.98,134.28,141.24,154.99,153.77,156.17,154.99,154.99,154.99,154.99,154.99,154.99,154.99,134.28,134.28,102.63,99.34,99.34,99.34,45.75,99.34,111.75,107.98,154.99,99.34,99.34,99.34,99.34,152.56,157.02
2023-02-01 13:00:00+01:00,142.22,125.0,151.6,172.24,98.53,98.53,98.53,149.99,104.42,149.99,128.56,151.6,148.51,152.6,151.6,153.15,151.6,153.15,151.6,151.6,151.6,149.99,149.99,101.79,98.53,98.53,98.53,45.77,98.53,110.91,104.42,151.6,98.53,98.53,98.53,98.53,146.59,154.78
2023-02-01 14:00:00+01:00,156.07,134.32,160.09,184.88,95.97,95.97,98.32,134.87,99.55,134.87,131.3,160.09,158.65,161.98,160.09,160.46,160.09,160.46,160.09,160.09,160.09,134.87,134.87,101.58,98.32,98.32,98.32,46.2,98.32,110.96,99.55,160.09,98.32,98.32,98.32,98.32,156.92,161.59
2023-02-01 15:00:00+01:00,147.48,140.0,185.05,175.0,98.56,98.56,98.56,134.37,98.15,134.37,136.57,185.05,165.02,183.21,165.27,166.57,165.27,166.57,165.27,165.27,165.27,134.37,134.37,101.82,98.56,98.56,98.56,45.62,98.56,111.0,98.15,185.05,98.56,98.56,98.56,98.56,157.55,162.24
