CET,AT-day_ahead_Solar,AT-day_ahead_Wind Onshore,BE-day_ahead_Solar,BE-day_ahead_Wind Offshore,BE-day_ahead_Wind Onshore,BG-day_ahead_Solar,BG-day_ahead_Wind Onshore,CZ-day_ahead_Solar,DE_LU-day_ahead_Solar,DE_LU-day_ahead_Wind Offshore,DE_LU-day_ahead_Wind Onshore,DK_1-day_ahead_Solar,DK_1-day_ahead_Wind Offshore,DK_1-day_ahead_Wind Onshore,DK_2-day_ahead_Solar,DK_2-day_ahead_Wind Offshore,DK_2-day_ahead_Wind Onshore,EE-day_ahead_Solar,EE-day_ahead_Wind Onshore,ES-day_ahead_Solar,ES-day_ahead_Wind Onshore,FI-day_ahead_Solar,FI-day_ahead_Wind Onshore,FR-day_ahead_Solar,FR-day_ahead_Wind Onshore,GR-day_ahead_Solar,GR-day_ahead_Wind Onshore,HR-day_ahead_Solar,HR-day_ahead_Wind Onshore,HU-day_ahead_Solar,HU-day_ahead_Wind Onshore,IT_CALA-day_ahead_Solar,IT_CALA-day_ahead_Wind Onshore,IT_CNOR-day_ahead_Solar,IT_CNOR-day_ahead_Wind Onshore,IT_CSUD-day_ahead_Solar,IT_CSUD-day_ahead_Wind Onshore,IT_NORD-day_ahead_Solar,IT_NORD-day_ahead_Wind Onshore,IT_SARD-day_ahead_Solar,IT_SARD-day_ahead_Wind Onshore,IT_SICI-day_ahead_Solar,IT_SICI-day_ahead_Wind Onshore,IT_SUD-day_ahead_Solar,IT_SUD-day_ahead_Wind Onshore,LT-day_ahead_Solar,LT-day_ahead_Wind Onshore,LV-day_ahead_Wind Onshore,NL-day_ahead_Solar,NL-day_ahead_Wind Offshore,NL-day_ahead_Wind Onshore,NO_1-day_ahead_Solar,NO_1-day_ahead_Wind Onshore,NO_2-day_ahead_Solar,NO_2-day_ahead_Wind Onshore,NO_3-day_ahead_Solar,NO_3-day_ahead_Wind Onshore,NO_4-day_ahead_Solar,NO_4-day_ahead_Wind Onshore,NO_5-day_ahead_Solar,NO_5-day_ahead_Wind Onshore,PL-day_ahead_Solar,PL-day_ahead_Wind Onshore,PT-day_ahead_Solar,PT-day_ahead_Wind Offshore,PT-day_ahead_Wind Onshore,RO-day_ahead_Solar,RO-day_ahead_Wind Onshore,SE_1-day_ahead_Solar,SE_1-day_ahead_Wind Onshore,SE_2-day_ahead_Solar,SE_2-day_ahead_Wind Onshore,SE_3-day_ahead_Solar,SE_3-day_ahead_Wind Onshore,SE_4-day_ahead_Solar,SE_4-day_ahead_Wind Onshore,SI-day_ahead_Solar,SK-day_ahead_Solar,SK-day_ahead_Wind Onshore
2022-01-01 00:00:00+01:00,0.0,2176.0,0.0,1853.0,580.0,0.0,166.0,0.0,0.0,5973.0,25931.0,0.0,830.0,793.0,0.0,311.0,239.0,0.0,13.0,14.0,6304.0,0.0,1813.0,0.0,2624.0,0.0,948.0,0.0,48.0,0.0,76.0,0.0,329.0,0.0,12.0,0.0,219.0,0.0,3.0,0.0,44.0,0.0,174.0,0.0,647.0,0.0,191.0,9.0,0.0,1364.0,2721.0,0.0,125.0,0.0,345.0,0.0,320.0,0.0,234.0,0.0,0.0,0.0,4006.0,0.0,22.0,2621.0,0.0,1200.0,0.0,1148.0,0.0,1291.0,0.0,1113.0,0.0,829.0,0.0,0.0,1.0
2022-01-01 00:15:00+01:00,0.0,2268.0,,,,,,,0.0,5944.0,25718.0,,,,,,,,,,,,,,,,,,,0.0,88.0,,,,,,,,,,,,,,,,,,0.0,1359.0,2671.0,,,,,,,,,,,,,,,,0.0,1200.0,,,,,,,,,,,
2022-01-01 00:30:00+01:00,0.0,2360.0,,,,,,,0.0,5914.0,25497.0,,,,,,,,,,,,,,,,,,,0.0,99.0,,,,,,,,,,,,,,,,,,0.0,1349.0,2621.0,,,,,,,,,,,,,,,,0.0,1200.0,,,,,,,,,,,
2022-01-01 00:45:00+01:00,0.0,2456.0,,,,,,,0.0,5881.0,25265.0,,,,,,,,,,,,,,,,,,,0.0,111.0,,,,,,,,,,,,,,,,,,0.0,1339.0,2572.0,,,,,,,,,,,,,,,,0.0,1201.0,,,,,,,,,,,
2022-01-01 01:00:00+01:00,0.0,2516.0,0.0,1751.0,541.0,0.0,133.0,0.0,0.0,5910.0,25027.0,0.0,871.0,799.0,0.0,311.0,245.0,0.0,14.0,10.0,6349.0,0.0,1868.0,0.0,2595.0,0.0,781.0,0.0,53.0,0.0,123.0,0.0,337.0,0.0,13.0,0.0,245.0,0.0,3.0,0.0,47.0,0.0,173.0,0.0,706.0,0.0,218.0,14.0,0.0,1329.0,2520.0,0.0,130.0,0.0,269.0,0.0,276.0,0.0,261.0,0.0,0.0,0.0,3905.0,0.0,22.0,2601.0,0.0,1163.0,0.0,1195.0,0.0,1334.0,0.0,1068.0,0.0,834.0,0.0,0.0,1.0
2022-01-01 01:15:00+01:00,0.0,2548.0,,,,,,,0.0,5865.0,24767.0,,,,,,,,,,,,,,,,,,,0.0,137.0,,,,,,,,,,,,,,,,,,0.0,1316.0,2459.0,,,,,,,,,,,,,,,,0.0,1163.0,,,,,,,,,,,
2022-01-01 01:30:00+01:00,0.0,2584.0,,,,,,,0.0,5811.0,24498.0,,,,,,,,,,,,,,,,,,,0.0,150.0,,,,,,,,,,,,,,,,,,0.0,1300.0,2385.0,,,,,,,,,,,,,,,,0.0,1163.0,,,,,,,,,,,
2022-01-01 01:45:00+01:00,0.0,2616.0,,,,,,,0.0,5753.0,24219.0,,,,,,,,,,,,,,,,,,,0.0,163.0,,,,,,,,,,,,,,,,,,0.0,1285.0,2315.0,,,,,,,,,,,,,,,,0.0,1163.0,,,,,,,,,,,
2022-01-01 02:00:00+01:00,0.0,2636.0,0.0,1539.0,494.0,0.0,129.0,0.0,0.0,5690.0,23925.0,0.0,833.0,790.0,0.0,316.0,263.0,0.0,17.0,9.0,6353.0,0.0,1951.0,0.0,2756.0,0.0,626.0,0.0,62.0,0.0,175.0,0.0,347.0,0.0,13.0,0.0,241.0,0.0,2.0,0.0,47.0,0.0,173.0,0.0,747.0,0.0,234.0,20.0,0.0,1269.0,2243.0,0.0,149.0,0.0,179.0,0.0,241.0,0.0,280.0,0.0,0.0,0.0,3870.0,0.0,21.0,2578.0,0.0,1156.0,0.0,1220.0,0.0,1357.0,0.0,1020.0,0.0,810.0,0.0,0.0,1.0
2022-01-01 02:15:00+01:00,0.0,2640.0,,,,,,,0.0,5618.0,23633.0,,,,,,,,,,,,,,,,,,,0.0,186.0,,,,,,,,,,,,,,,,,,0.0,1249.0,2184.0,,,,,,,,,,,,,,,,0.0,1156.0,,,,,,,,,,,
