CET,AT-day_ahead_Solar,AT-day_ahead_Wind Onshore,BE-day_ahead_Solar,BE-day_ahead_Wind Offshore,BE-day_ahead_Wind Onshore,BG-day_ahead_Solar,BG-day_ahead_Wind Onshore,CZ-day_ahead_Solar,DE_LU-day_ahead_Solar,DE_LU-day_ahead_Wind Offshore,DE_LU-day_ahead_Wind Onshore,DK_1-day_ahead_Solar,DK_1-day_ahead_Wind Offshore,DK_1-day_ahead_Wind Onshore,DK_2-day_ahead_Solar,DK_2-day_ahead_Wind Offshore,DK_2-day_ahead_Wind Onshore,EE-day_ahead_Solar,EE-day_ahead_Wind Onshore,ES-day_ahead_Solar,ES-day_ahead_Wind Onshore,FI-day_ahead_Solar,FI-day_ahead_Wind Onshore,FR-day_ahead_Solar,FR-day_ahead_Wind Onshore,GR-day_ahead_Solar,GR-day_ahead_Wind Onshore,HR-day_ahead_Solar,HR-day_ahead_Wind Onshore,HU-day_ahead_Solar,HU-day_ahead_Wind Onshore,IT_CALA-day_ahead_Solar,IT_CALA-day_ahead_Wind Onshore,IT_CNOR-day_ahead_Solar,IT_CNOR-day_ahead_Wind Onshore,IT_CSUD-day_ahead_Solar,IT_CSUD-day_ahead_Wind Onshore,IT_NORD-day_ahead_Solar,IT_NORD-day_ahead_Wind Onshore,IT_SARD-day_ahead_Solar,IT_SARD-day_ahead_Wind Onshore,IT_SICI-day_ahead_Solar,IT_SICI-day_ahead_Wind Onshore,IT_SUD-day_ahead_Solar,IT_SUD-day_ahead_Wind Onshore,LT-day_ahead_Solar,LT-day_ahead_Wind Onshore,LV-day_ahead_Wind Onshore,NL-day_ahead_Solar,NL-day_ahead_Wind Offshore,NL-day_ahead_Wind Onshore,NO_1-day_ahead_Solar,NO_1-day_ahead_Wind Offshore,NO_1-day_ahead_Wind Onshore,NO_2-day_ahead_Solar,NO_2-day_ahead_Wind Offshore,NO_2-day_ahead_Wind Onshore,NO_3-day_ahead_Solar,NO_3-day_ahead_Wind Offshore,NO_3-day_ahead_Wind Onshore,NO_4-day_ahead_Solar,NO_4-day_ahead_Wind Offshore,NO_4-day_ahead_Wind Onshore,NO_5-day_ahead_Solar,NO_5-day_ahead_Wind Offshore,NO_5-day_ahead_Wind Onshore,PL-day_ahead_Solar,PL-day_ahead_Wind Onshore,PT-day_ahead_Solar,PT-day_ahead_Wind Offshore,PT-day_ahead_Wind Onshore,RO-day_ahead_Solar,RO-day_ahead_Wind Onshore,SE_1-day_ahead_Solar,SE_1-day_ahead_Wind Onshore,SE_2-day_ahead_Solar,SE_2-day_ahead_Wind Onshore,SE_3-day_ahead_Solar,SE_3-day_ahead_Wind Onshore,SE_4-day_ahead_Solar,SE_4-day_ahead_Wind Onshore,SI-day_ahead_Solar,SK-day_ahead_Solar,SK-day_ahead_Wind Onshore
2022-10-01 00:00:00+02:00,0.0,244.0,0.0,2134.0,1685.0,0.0,11.0,0.0,0.0,5784.0,20261.0,0.0,1058.0,1901.0,0.0,204.0,243.0,0.0,33.0,277.0,3894.0,0.0,122.0,0.0,11987.0,0.0,326.0,0.0,648.0,0.0,24.0,0.0,151.0,0.0,7.0,0.0,296.0,0.0,4.0,0.0,170.0,0.0,465.0,0.0,656.0,0.0,48.0,22.0,0.0,1573.0,5115.0,0.0,,173.0,0.0,,1278.0,0.0,,1448.0,0.0,,225.0,0.0,,0.0,0.0,1540.0,0.0,2.0,719.0,2.0,371.0,0.0,48.0,0.0,1423.0,0.0,1061.0,0.0,584.0,0.0,0.0,1.0
2022-10-01 00:15:00+02:00,0.0,244.0,,,,,,,0.0,5773.0,20660.0,,,,,,,,,233.0,3849.0,,,,,,,,,0.0,24.0,,,,,,,,,,,,,,,,,,0.0,1578.0,5170.0,,,,,,,,,,,,,,,,,,,,,2.0,371.0,,,,,,,,,,,
2022-10-01 00:30:00+02:00,0.0,248.0,,,,,,,0.0,5769.0,21059.0,,,,,,,,,207.0,3806.0,,,,,,,,,0.0,25.0,,,,,,,,,,,,,,,,,,0.0,1583.0,5222.0,,,,,,,,,,,,,,,,,,,,,2.0,371.0,,,,,,,,,,,
2022-10-01 00:45:00+02:00,0.0,248.0,,,,,,,0.0,5760.0,21442.0,,,,,,,,,196.0,3765.0,,,,,,,,,0.0,25.0,,,,,,,,,,,,,,,,,,0.0,1589.0,5272.0,,,,,,,,,,,,,,,,,,,,,2.0,371.0,,,,,,,,,,,
2022-10-01 01:00:00+02:00,0.0,248.0,0.0,2155.0,1745.0,0.0,15.0,0.0,0.0,5563.0,21821.0,0.0,1041.0,2010.0,0.0,214.0,251.0,0.0,38.0,196.0,3725.0,0.0,133.0,0.0,12607.0,0.0,334.0,0.0,609.0,0.0,25.0,0.0,179.0,0.0,6.0,0.0,442.0,0.0,3.0,0.0,170.0,0.0,447.0,0.0,756.0,0.0,51.0,23.0,0.0,1594.0,5322.0,0.0,,227.0,0.0,,1284.0,0.0,,1531.0,0.0,,239.0,0.0,,0.0,0.0,1574.0,0.0,2.0,598.0,2.0,331.0,0.0,61.0,0.0,1463.0,0.0,1138.0,0.0,635.0,0.0,0.0,1.0
2022-10-01 01:15:00+02:00,0.0,244.0,,,,,,,0.0,5561.0,22189.0,,,,,,,,,191.0,3686.0,,,,,,,,,0.0,24.0,,,,,,,,,,,,,,,,,,0.0,1597.0,5372.0,,,,,,,,,,,,,,,,,,,,,2.0,331.0,,,,,,,,,,,
2022-10-01 01:30:00+02:00,0.0,240.0,,,,,,,0.0,5553.0,22570.0,,,,,,,,,181.0,3646.0,,,,,,,,,0.0,22.0,,,,,,,,,,,,,,,,,,0.0,1597.0,5418.0,,,,,,,,,,,,,,,,,,,,,2.0,330.0,,,,,,,,,,,
2022-10-01 01:45:00+02:00,0.0,236.0,,,,,,,0.0,5551.0,22950.0,,,,,,,,,166.0,3605.0,,,,,,,,,0.0,21.0,,,,,,,,,,,,,,,,,,0.0,1597.0,5466.0,,,,,,,,,,,,,,,,,,,,,2.0,330.0,,,,,,,,,,,
2022-10-01 02:00:00+02:00,0.0,232.0,0.0,2074.0,1773.0,0.0,16.0,0.0,0.0,5555.0,23341.0,0.0,1056.0,2099.0,0.0,217.0,264.0,0.0,37.0,150.0,3568.0,0.0,137.0,0.0,13228.0,0.0,339.0,0.0,569.0,0.0,21.0,0.0,162.0,0.0,6.0,0.0,544.0,0.0,3.0,0.0,167.0,0.0,363.0,0.0,771.0,0.0,52.0,25.0,0.0,1598.0,5513.0,0.0,,233.0,0.0,,1281.0,0.0,,1508.0,0.0,,254.0,0.0,,0.0,0.0,1615.0,0.0,1.0,520.0,2.0,296.0,0.0,79.0,0.0,1488.0,0.0,1164.0,0.0,653.0,0.0,0.0,1.0
2022-10-01 02:15:00+02:00,0.0,224.0,,,,,,,0.0,5549.0,23759.0,,,,,,,,,131.0,3518.0,,,,,,,,,0.0,20.0,,,,,,,,,,,,,,,,,,0.0,1593.0,5516.0,,,,,,,,,,,,,,,,,,,,,2.0,296.0,,,,,,,,,,,
2022-10-01 02:30:00+02:00,0.0,216.0,,,,,,,0.0,5547.0,24210.0,,,,,,,,,114.0,3465.0,,,,,,,,,0.0,20.0,,,,,,,,,,,,,,,,,,0.0,1584.0,5476.0,,,,,,,,,,,,,,,,,,,,,2.0,296.0,,,,,,,,,,,
2022-10-01 02:45:00+02:00,0.0,208.0,,,,,,,0.0,5545.0,24647.0,,,,,,,,,99.0,3416.0,,,,,,,,,0.0,20.0,,,,,,,,,,,,,,,,,,0.0,1575.0,5437.0,,,,,,,,,,,,,,,,,,,,,2.0,296.0,,,,,,,,,,,
