CET,AT-day_ahead_Solar,AT-day_ahead_Wind Onshore,BE-day_ahead_Solar,BE-day_ahead_Wind Offshore,BE-day_ahead_Wind Onshore,BG-day_ahead_Solar,BG-day_ahead_Wind Onshore,CZ-day_ahead_Solar,DE_LU-day_ahead_Solar,DE_LU-day_ahead_Wind Offshore,DE_LU-day_ahead_Wind Onshore,DK_1-day_ahead_Solar,DK_1-day_ahead_Wind Offshore,DK_1-day_ahead_Wind Onshore,DK_2-day_ahead_Solar,DK_2-day_ahead_Wind Offshore,DK_2-day_ahead_Wind Onshore,EE-day_ahead_Solar,EE-day_ahead_Wind Onshore,ES-day_ahead_Solar,ES-day_ahead_Wind Onshore,FI-day_ahead_Solar,FI-day_ahead_Wind Onshore,FR-day_ahead_Solar,FR-day_ahead_Wind Offshore,FR-day_ahead_Wind Onshore,GR-day_ahead_Solar,GR-day_ahead_Wind Onshore,HR-day_ahead_Solar,HR-day_ahead_Wind Onshore,HU-day_ahead_Solar,HU-day_ahead_Wind Onshore,IT_CALA-day_ahead_Solar,IT_CALA-day_ahead_Wind Onshore,IT_CNOR-day_ahead_Solar,IT_CNOR-day_ahead_Wind Onshore,IT_CSUD-day_ahead_Solar,IT_CSUD-day_ahead_Wind Onshore,IT_NORD-day_ahead_Solar,IT_NORD-day_ahead_Wind Onshore,IT_SARD-day_ahead_Solar,IT_SARD-day_ahead_Wind Onshore,IT_SICI-day_ahead_Solar,IT_SICI-day_ahead_Wind Onshore,IT_SUD-day_ahead_Solar,IT_SUD-day_ahead_Wind Onshore,LT-day_ahead_Solar,LT-day_ahead_Wind Onshore,LV-day_ahead_Wind Onshore,NL-day_ahead_Solar,NL-day_ahead_Wind Offshore,NL-day_ahead_Wind Onshore,NO_1-day_ahead_Solar,NO_1-day_ahead_Wind Onshore,NO_2-day_ahead_Solar,NO_2-day_ahead_Wind Onshore,NO_3-day_ahead_Solar,NO_3-day_ahead_Wind Onshore,NO_4-day_ahead_Solar,NO_4-day_ahead_Wind Onshore,NO_5-day_ahead_Solar,NO_5-day_ahead_Wind Onshore,PL-day_ahead_Solar,PL-day_ahead_Wind Onshore,PT-day_ahead_Solar,PT-day_ahead_Wind Offshore,PT-day_ahead_Wind Onshore,RO-day_ahead_Solar,RO-day_ahead_Wind Onshore,SE_1-day_ahead_Solar,SE_1-day_ahead_Wind Onshore,SE_2-day_ahead_Solar,SE_2-day_ahead_Wind Onshore,SE_3-day_ahead_Solar,SE_3-day_ahead_Wind Onshore,SE_4-day_ahead_Solar,SE_4-day_ahead_Wind Onshore,SI-day_ahead_Solar,SK-day_ahead_Solar,SK-day_ahead_Wind Onshore
2023-10-01 00:00:00+02:00,0.0,752.0,0.0,653.0,487.0,0.0,201.0,0.0,0.0,1891.0,4062.0,0.0,534.0,829.0,0.0,516.0,130.0,0.0,106.0,296.0,3025.0,0.0,2379.0,0.0,39.0,2578.0,0.0,928.0,0.0,478.0,0.0,99.0,0.0,137.0,0.0,3.0,0.0,112.0,0.0,3.0,0.0,8.0,0.0,85.0,0.0,688.0,0.0,491.0,46.0,0.0,422.0,876.0,0.0,84.0,0.0,265.0,0.0,718.0,0.0,190.0,0.0,0.0,0.0,3051.0,0.0,1.0,461.0,0.0,191.0,0.0,992.0,0.0,3746.0,0.0,1591.0,0.0,1070.0,0.0,0.0,1.0
2023-10-01 00:15:00+02:00,0.0,716.0,,,,,,,0.0,1939.0,4110.0,,,,,,,,,290.0,3008.0,0.0,2384.0,,,,,,,,0.0,97.0,,,,,,,,,,,,,,,,,,0.0,468.0,960.0,,,,,,,,,,,,,,,,0.0,192.0,,,,,,,,,,,
2023-10-01 00:30:00+02:00,0.0,680.0,,,,,,,0.0,1985.0,4170.0,,,,,,,,,289.0,2988.0,0.0,2394.0,,,,,,,,0.0,96.0,,,,,,,,,,,,,,,,,,0.0,517.0,1062.0,,,,,,,,,,,,,,,,0.0,193.0,,,,,,,,,,,
2023-10-01 00:45:00+02:00,0.0,644.0,,,,,,,0.0,2027.0,4232.0,,,,,,,,,292.0,2967.0,0.0,2416.0,,,,,,,,0.0,94.0,,,,,,,,,,,,,,,,,,0.0,566.0,1162.0,,,,,,,,,,,,,,,,0.0,194.0,,,,,,,,,,,
2023-10-01 01:00:00+02:00,0.0,612.0,0.0,852.0,596.0,0.0,266.0,0.0,0.0,2061.0,4294.0,0.0,515.0,718.0,0.0,509.0,112.0,0.0,142.0,302.0,2940.0,0.0,2456.0,0.0,53.0,3218.0,0.0,994.0,0.0,490.0,0.0,93.0,0.0,133.0,0.0,3.0,0.0,117.0,0.0,4.0,0.0,8.0,0.0,73.0,0.0,731.0,0.0,479.0,45.0,0.0,615.0,1266.0,0.0,81.0,0.0,248.0,0.0,581.0,0.0,190.0,0.0,0.0,0.0,2962.0,0.0,1.0,455.0,0.0,261.0,0.0,998.0,0.0,3619.0,0.0,1493.0,0.0,1033.0,0.0,0.0,1.0
2023-10-01 01:15:00+02:00,0.0,584.0,,,,,,,0.0,2072.0,4361.0,,,,,,,,,302.0,2923.0,0.0,2481.0,,,,,,,,0.0,93.0,,,,,,,,,,,,,,,,,,0.0,680.0,1363.0,,,,,,,,,,,,,,,,0.0,263.0,,,,,,,,,,,
2023-10-01 01:30:00+02:00,0.0,556.0,,,,,,,0.0,2082.0,4422.0,,,,,,,,,296.0,2910.0,0.0,2498.0,,,,,,,,0.0,92.0,,,,,,,,,,,,,,,,,,0.0,762.0,1466.0,,,,,,,,,,,,,,,,0.0,264.0,,,,,,,,,,,
2023-10-01 01:45:00+02:00,0.0,528.0,,,,,,,0.0,2086.0,4482.0,,,,,,,,,285.0,2900.0,0.0,2512.0,,,,,,,,0.0,91.0,,,,,,,,,,,,,,,,,,0.0,844.0,1566.0,,,,,,,,,,,,,,,,0.0,266.0,,,,,,,,,,,
2023-10-01 02:00:00+02:00,0.0,508.0,0.0,1009.0,672.0,0.0,226.0,0.0,0.0,2089.0,4509.0,0.0,498.0,626.0,0.0,495.0,94.0,0.0,130.0,275.0,2896.0,0.0,2522.0,0.0,78.0,3859.0,0.0,1064.0,0.0,497.0,0.0,91.0,0.0,142.0,0.0,3.0,0.0,128.0,0.0,5.0,0.0,8.0,0.0,67.0,0.0,808.0,0.0,458.0,43.0,0.0,925.0,1665.0,0.0,76.0,0.0,227.0,0.0,539.0,0.0,196.0,0.0,0.0,0.0,2903.0,0.0,1.0,490.0,0.0,423.0,0.0,999.0,0.0,3372.0,0.0,1419.0,0.0,1004.0,0.0,0.0,1.0
2023-10-01 02:15:00+02:00,0.0,500.0,,,,,,,0.0,2057.0,4611.0,,,,,,,,,258.0,2884.0,0.0,2533.0,,,,,,,,0.0,91.0,,,,,,,,,,,,,,,,,,0.0,985.0,1748.0,,,,,,,,,,,,,,,,0.0,426.0,,,,,,,,,,,
