CET,AT-day_ahead_Solar,AT-day_ahead_Wind Onshore,BE-day_ahead_Solar,BE-day_ahead_Wind Offshore,BE-day_ahead_Wind Onshore,BG-day_ahead_Solar,BG-day_ahead_Wind Onshore,CZ-day_ahead_Solar,DE_LU-day_ahead_Solar,DE_LU-day_ahead_Wind Offshore,DE_LU-day_ahead_Wind Onshore,DK_1-day_ahead_Solar,DK_1-day_ahead_Wind Offshore,DK_1-day_ahead_Wind Onshore,DK_2-day_ahead_Solar,DK_2-day_ahead_Wind Offshore,DK_2-day_ahead_Wind Onshore,EE-day_ahead_Solar,EE-day_ahead_Wind Onshore,ES-day_ahead_Solar,ES-day_ahead_Wind Onshore,FI-day_ahead_Solar,FI-day_ahead_Wind Onshore,FR-day_ahead_Solar,FR-day_ahead_Wind Offshore,FR-day_ahead_Wind Onshore,GR-day_ahead_Solar,GR-day_ahead_Wind Onshore,HR-day_ahead_Solar,HR-day_ahead_Wind Onshore,HU-day_ahead_Solar,HU-day_ahead_Wind Onshore,IT_CALA-day_ahead_Solar,IT_CALA-day_ahead_Wind Onshore,IT_CNOR-day_ahead_Solar,IT_CNOR-day_ahead_Wind Onshore,IT_CSUD-day_ahead_Solar,IT_CSUD-day_ahead_Wind Onshore,IT_NORD-day_ahead_Solar,IT_NORD-day_ahead_Wind Onshore,IT_SARD-day_ahead_Solar,IT_SARD-day_ahead_Wind Onshore,IT_SICI-day_ahead_Solar,IT_SICI-day_ahead_Wind Onshore,IT_SUD-day_ahead_Solar,IT_SUD-day_ahead_Wind Onshore,LT-day_ahead_Solar,LT-day_ahead_Wind Onshore,LV-day_ahead_Wind Onshore,NL-day_ahead_Solar,NL-day_ahead_Wind Offshore,NL-day_ahead_Wind Onshore,NO_1-day_ahead_Solar,NO_1-day_ahead_Wind Offshore,NO_1-day_ahead_Wind Onshore,NO_2-day_ahead_Solar,NO_2-day_ahead_Wind Offshore,NO_2-day_ahead_Wind Onshore,NO_3-day_ahead_Solar,NO_3-day_ahead_Wind Offshore,NO_3-day_ahead_Wind Onshore,NO_4-day_ahead_Solar,NO_4-day_ahead_Wind Offshore,NO_4-day_ahead_Wind Onshore,NO_5-day_ahead_Solar,NO_5-day_ahead_Wind Offshore,NO_5-day_ahead_Wind Onshore,PL-day_ahead_Solar,PL-day_ahead_Wind Onshore,PT-day_ahead_Solar,PT-day_ahead_Wind Offshore,PT-day_ahead_Wind Onshore,RO-day_ahead_Solar,RO-day_ahead_Wind Onshore,SE_1-day_ahead_Solar,SE_1-day_ahead_Wind Onshore,SE_2-day_ahead_Solar,SE_2-day_ahead_Wind Onshore,SE_3-day_ahead_Solar,SE_3-day_ahead_Wind Onshore,SE_4-day_ahead_Solar,SE_4-day_ahead_Wind Onshore,SI-day_ahead_Solar,SK-day_ahead_Solar,SK-day_ahead_Wind Onshore
2024-01-01 00:00:00+01:00,0.0,972.0,0.0,2183.0,2197.0,0.0,108.0,0.0,0.0,5331.0,30322.0,0.0,978.0,1558.0,0.0,505.0,199.0,0.0,23.0,9.0,4988.0,0.0,1181.0,0.0,240.0,15050.0,0.0,525.0,0.0,535.0,0.0,89.0,0.0,155.0,0.0,69.0,0.0,1185.0,0.0,44.0,0.0,345.0,0.0,85.0,0.0,1768.0,0.0,252.0,12.0,0.0,1408.0,4645.0,0.0,,169.0,0.0,,1148.0,0.0,,1672.0,0.0,,656.0,0.0,,0.0,0.0,2783.0,0.0,1.0,352.0,4.0,1287.0,0.0,69.0,0.0,683.0,0.0,2429.0,0.0,1581.0,0.0,0.0,1.0
2024-01-01 00:15:00+01:00,0.0,1028.0,,,,,,,0.0,5284.0,30167.0,,,,,,,,,12.0,4939.0,0.0,1188.0,,,,,,0.0,535.0,0.0,86.0,,,,,,,,,,,,,,,,,,0.0,1406.0,4631.0,,,,,,,,,,,,,,,,,,,,,4.0,1289.0,,,,,,,,,,,
2024-01-01 00:30:00+01:00,0.0,1088.0,,,,,,,0.0,5241.0,30032.0,,,,,,,,,12.0,4893.0,0.0,1202.0,,,,,,0.0,535.0,0.0,82.0,,,,,,,,,,,,,,,,,,0.0,1403.0,4620.0,,,,,,,,,,,,,,,,,,,,,4.0,1290.0,,,,,,,,,,,
2024-01-01 00:45:00+01:00,0.0,1144.0,,,,,,,0.0,5195.0,29935.0,,,,,,,,,12.0,4848.0,0.0,1229.0,,,,,,0.0,535.0,0.0,78.0,,,,,,,,,,,,,,,,,,0.0,1400.0,4608.0,,,,,,,,,,,,,,,,,,,,,4.0,1292.0,,,,,,,,,,,
2024-01-01 01:00:00+01:00,0.0,1192.0,0.0,2182.0,2195.0,0.0,147.0,0.0,0.0,5132.0,29893.0,0.0,953.0,1447.0,0.0,489.0,187.0,0.0,27.0,12.0,4804.0,0.0,1276.0,0.0,240.0,14779.0,0.0,570.0,0.0,556.0,0.0,75.0,0.0,177.0,0.0,68.0,0.0,1229.0,0.0,40.0,0.0,330.0,0.0,108.0,0.0,1771.0,0.0,283.0,12.0,0.0,1397.0,4596.0,0.0,,173.0,0.0,,1157.0,0.0,,1666.0,0.0,,672.0,0.0,,0.0,0.0,2576.0,0.0,1.0,349.0,4.0,1379.0,0.0,64.0,0.0,706.0,0.0,2472.0,0.0,1510.0,0.0,0.0,1.0
2024-01-01 01:15:00+01:00,0.0,1240.0,,,,,,,0.0,5085.0,29844.0,,,,,,,,,11.0,4762.0,0.0,1310.0,,,,,,0.0,556.0,0.0,73.0,,,,,,,,,,,,,,,,,,0.0,1395.0,4582.0,,,,,,,,,,,,,,,,,,,,,4.0,1382.0,,,,,,,,,,,
2024-01-01 01:30:00+01:00,0.0,1292.0,,,,,,,0.0,5048.0,29804.0,,,,,,,,,11.0,4722.0,0.0,1338.0,,,,,,0.0,556.0,0.0,71.0,,,,,,,,,,,,,,,,,,0.0,1394.0,4564.0,,,,,,,,,,,,,,,,,,,,,4.0,1385.0,,,,,,,,,,,
2024-01-01 01:45:00+01:00,0.0,1348.0,,,,,,,0.0,5007.0,29778.0,,,,,,,,,11.0,4682.0,0.0,1368.0,,,,,,0.0,556.0,0.0,69.0,,,,,,,,,,,,,,,,,,0.0,1392.0,4547.0,,,,,,,,,,,,,,,,,,,,,4.0,1388.0,,,,,,,,,,,
2024-01-01 02:00:00+01:00,0.0,1396.0,0.0,2181.0,2191.0,0.0,137.0,0.0,0.0,4960.0,29689.0,0.0,924.0,1352.0,0.0,511.0,187.0,0.0,32.0,12.0,4639.0,0.0,1398.0,0.0,240.0,14362.0,0.0,586.0,0.0,577.0,0.0,67.0,0.0,197.0,0.0,66.0,0.0,1246.0,0.0,35.0,0.0,290.0,0.0,126.0,0.0,1764.0,0.0,319.0,12.0,0.0,1391.0,4530.0,0.0,,175.0,0.0,,1187.0,0.0,,1658.0,0.0,,672.0,0.0,,0.0,0.0,2414.0,0.0,1.0,356.0,4.0,1447.0,0.0,65.0,0.0,735.0,0.0,2504.0,0.0,1433.0,0.0,0.0,1.0
2024-01-01 02:15:00+01:00,0.0,1452.0,,,,,,,0.0,4942.0,29674.0,,,,,,,,,12.0,4602.0,0.0,1427.0,,,,,,0.0,577.0,0.0,66.0,,,,,,,,,,,,,,,,,,0.0,1389.0,4515.0,,,,,,,,,,,,,,,,,,,,,4.0,1448.0,,,,,,,,,,,
