CET,AT-day_ahead_Solar,AT-day_ahead_Wind Onshore,BE-day_ahead_Solar,BE-day_ahead_Wind Offshore,BE-day_ahead_Wind Onshore,BG-day_ahead_Solar,BG-day_ahead_Wind Onshore,CZ-day_ahead_Solar,DE_LU-day_ahead_Solar,DE_LU-day_ahead_Wind Offshore,DE_LU-day_ahead_Wind Onshore,DK_1-day_ahead_Solar,DK_1-day_ahead_Wind Offshore,DK_1-day_ahead_Wind Onshore,DK_2-day_ahead_Solar,DK_2-day_ahead_Wind Offshore,DK_2-day_ahead_Wind Onshore,EE-day_ahead_Solar,EE-day_ahead_Wind Onshore,ES-day_ahead_Solar,ES-day_ahead_Wind Onshore,FI-day_ahead_Solar,FI-day_ahead_Wind Onshore,FR-day_ahead_Solar,FR-day_ahead_Wind Offshore,FR-day_ahead_Wind Onshore,GR-day_ahead_Solar,GR-day_ahead_Wind Onshore,HR-day_ahead_Solar,HR-day_ahead_Wind Onshore,HU-day_ahead_Solar,HU-day_ahead_Wind Onshore,IT_CALA-day_ahead_Solar,IT_CALA-day_ahead_Wind Onshore,IT_CNOR-day_ahead_Solar,IT_CNOR-day_ahead_Wind Onshore,IT_CSUD-day_ahead_Solar,IT_CSUD-day_ahead_Wind Onshore,IT_NORD-day_ahead_Solar,IT_NORD-day_ahead_Wind Onshore,IT_SARD-day_ahead_Solar,IT_SARD-day_ahead_Wind Onshore,IT_SICI-day_ahead_Solar,IT_SICI-day_ahead_Wind Onshore,IT_SUD-day_ahead_Solar,IT_SUD-day_ahead_Wind Onshore,LT-day_ahead_Solar,LT-day_ahead_Wind Onshore,LV-day_ahead_Solar,LV-day_ahead_Wind Onshore,NL-day_ahead_Solar,NL-day_ahead_Wind Offshore,NL-day_ahead_Wind Onshore,NO_1-day_ahead_Solar,NO_1-day_ahead_Wind Onshore,NO_2-day_ahead_Solar,NO_2-day_ahead_Wind Onshore,NO_3-day_ahead_Solar,NO_3-day_ahead_Wind Onshore,NO_4-day_ahead_Solar,NO_4-day_ahead_Wind Onshore,NO_5-day_ahead_Solar,NO_5-day_ahead_Wind Onshore,PL-day_ahead_Solar,PL-day_ahead_Wind Onshore,PT-day_ahead_Solar,PT-day_ahead_Wind Offshore,PT-day_ahead_Wind Onshore,RO-day_ahead_Solar,RO-day_ahead_Wind Onshore,SE_1-day_ahead_Solar,SE_1-day_ahead_Wind Onshore,SE_2-day_ahead_Solar,SE_2-day_ahead_Wind Onshore,SE_3-day_ahead_Solar,SE_3-day_ahead_Wind Onshore,SE_4-day_ahead_Solar,SE_4-day_ahead_Wind Onshore,SI-day_ahead_Solar,SK-day_ahead_Solar,SK-day_ahead_Wind Onshore
2024-12-01 00:00:00+01:00,0.0,108.0,0.0,589.0,396.0,0.0,525.0,0.0,0.0,2557.0,9981.0,0.0,707.0,923.0,0.0,363.0,116.0,0.0,454.0,88.0,5865.0,0.0,2895.0,0.0,743.0,4583.0,0.0,2542.0,0.0,908.0,0.0,8.0,0.0,434.0,0.0,57.0,0.0,1240.0,0.0,43.0,0.0,155.0,0.0,920.0,0.0,3128.0,0.0,819.0,0.0,21.0,0.0,368.0,959.0,0.0,264.0,0.0,601.0,0.0,1702.0,0.0,369.0,0.0,0.0,0.0,2869.0,0.0,21.0,1818.0,0.0,1955.0,0.0,71.0,0.0,4319.0,0.0,2704.0,1.0,925.0,0.0,0.0,1.0
2024-12-01 00:15:00+01:00,0.0,108.0,,,,,,0.0,0.0,2521.0,9856.0,,,,,,,,,85.0,5856.0,0.0,2883.0,,,,,,0.0,907.0,0.0,8.0,,,,,,,,,,,,,,,0.0,819.0,,,0.0,358.0,946.0,,,,,,,,,,,0.0,2839.0,,,,0.0,1955.0,,,,,,,,,,,
2024-12-01 00:30:00+01:00,0.0,112.0,,,,,,0.0,0.0,2479.0,9730.0,,,,,,,,,87.0,5835.0,0.0,2871.0,,,,,,0.0,905.0,0.0,7.0,,,,,,,,,,,,,,,0.0,819.0,,,0.0,344.0,931.0,,,,,,,,,,,0.0,2809.0,,,,0.0,1954.0,,,,,,,,,,,
2024-12-01 00:45:00+01:00,0.0,112.0,,,,,,0.0,0.0,2439.0,9613.0,,,,,,,,,90.0,5803.0,0.0,2859.0,,,,,,0.0,905.0,0.0,7.0,,,,,,,,,,,,,,,0.0,819.0,,,0.0,330.0,918.0,,,,,,,,,,,0.0,2778.0,,,,0.0,1954.0,,,,,,,,,,,
2024-12-01 01:00:00+01:00,0.0,116.0,0.0,581.0,398.0,0.0,551.0,0.0,0.0,2397.0,9497.0,0.0,693.0,869.0,0.0,332.0,105.0,0.0,442.0,100.0,5782.0,0.0,2806.0,0.0,821.0,4625.0,0.0,2462.0,0.0,910.0,0.0,7.0,0.0,440.0,0.0,57.0,0.0,1215.0,0.0,43.0,0.0,138.0,0.0,879.0,0.0,3072.0,0.0,814.0,0.0,21.0,0.0,316.0,900.0,0.0,246.0,0.0,684.0,0.0,1655.0,0.0,397.0,0.0,0.0,0.0,2747.0,0.0,20.0,1829.0,0.0,1884.0,0.0,91.0,0.0,4301.0,0.0,2631.0,1.0,871.0,0.0,0.0,1.0
2024-12-01 01:15:00+01:00,0.0,120.0,,,,,,0.0,0.0,2360.0,9372.0,,,,,,,,,100.0,5723.0,0.0,2792.0,,,,,,0.0,910.0,0.0,7.0,,,,,,,,,,,,,,,0.0,814.0,,,0.0,310.0,896.0,,,,,,,,,,,0.0,2716.0,,,,0.0,1884.0,,,,,,,,,,,
2024-12-01 01:30:00+01:00,0.0,124.0,,,,,,0.0,0.0,2321.0,9239.0,,,,,,,,,97.0,5652.0,0.0,2783.0,,,,,,0.0,908.0,0.0,6.0,,,,,,,,,,,,,,,0.0,814.0,,,0.0,312.0,897.0,,,,,,,,,,,0.0,2684.0,,,,0.0,1883.0,,,,,,,,,,,
2024-12-01 01:45:00+01:00,0.0,124.0,,,,,,0.0,0.0,2279.0,9101.0,,,,,,,,,90.0,5577.0,0.0,2769.0,,,,,,0.0,908.0,0.0,6.0,,,,,,,,,,,,,,,0.0,814.0,,,0.0,314.0,900.0,,,,,,,,,,,0.0,2653.0,,,,0.0,1882.0,,,,,,,,,,,
2024-12-01 02:00:00+01:00,0.0,128.0,0.0,580.0,425.0,0.0,535.0,0.0,0.0,2241.0,8971.0,0.0,675.0,855.0,0.0,304.0,98.0,0.0,431.0,82.0,5472.0,0.0,2769.0,0.0,884.0,5079.0,0.0,2385.0,0.0,919.0,0.0,6.0,0.0,451.0,0.0,55.0,0.0,1170.0,0.0,43.0,0.0,120.0,0.0,871.0,0.0,3039.0,0.0,782.0,0.0,22.0,0.0,317.0,902.0,0.0,228.0,0.0,740.0,0.0,1533.0,0.0,415.0,0.0,0.0,0.0,2627.0,0.0,19.0,1811.0,0.0,1853.0,0.0,106.0,0.0,4189.0,0.0,2568.0,1.0,826.0,0.0,0.0,1.0
2024-12-01 02:15:00+01:00,0.0,136.0,,,,,,0.0,0.0,2217.0,8875.0,,,,,,,,,73.0,5424.0,0.0,2762.0,,,,,,0.0,919.0,0.0,6.0,,,,,,,,,,,,,,,0.0,782.0,,,0.0,320.0,905.0,,,,,,,,,,,0.0,2605.0,,,,0.0,1853.0,,,,,,,,,,,
